categoria,detalle
fuel_candidatos_ya_asignados,DAM: candidatos ELC001 (lo tomó ELC). Revisar si es commodity global o split N:1
fuel_candidatos_ya_asignados,ELCZNI: candidatos ELC003 (lo tomó ELC002). Revisar si es commodity global o split N:1
fuel_candidatos_ya_asignados,FOL: candidatos ELC001 (lo tomó ELC); TRAMRT (lo tomó TRAMRT). Revisar si es commodity global o split N:1
fuel_candidatos_ya_asignados,GEO: candidatos ELC001 (lo tomó ELC). Revisar si es commodity global o split N:1
fuel_candidatos_ya_asignados,LPG: candidatos ELC001 (lo tomó ELC); LPG002 (lo tomó LPG002). Revisar si es commodity global o split N:1
fuel_candidatos_ya_asignados,MINIGSL: candidatos GSL002 (lo tomó GSL); MINIGSL (lo tomó GSL022). Revisar si es commodity global o split N:1
fuel_candidatos_ya_asignados,OFW: candidatos ELC001 (lo tomó ELC). Revisar si es commodity global o split N:1
fuel_candidatos_ya_asignados,OFW_FLO: candidatos ELC001 (lo tomó ELC). Revisar si es commodity global o split N:1
fuel_candidatos_ya_asignados,ONW: candidatos ELC001 (lo tomó ELC). Revisar si es commodity global o split N:1
fuel_candidatos_ya_asignados,ROR: candidatos ELC001 (lo tomó ELC); ELC003 (lo tomó ELC002). Revisar si es commodity global o split N:1
fuel_candidatos_ya_asignados,SAF: candidatos HDG001 (lo tomó HDG); JET002 (lo tomó JET); JETSAF (lo tomó JETSAF); OPL (lo tomó OPL). Revisar si es commodity global o split N:1
fuel_candidatos_ya_asignados,SOL: candidatos ELC001 (lo tomó ELC); ELC003 (lo tomó ELC002). Revisar si es commodity global o split N:1
fuel_candidatos_ya_asignados,URN: candidatos ELC001 (lo tomó ELC). Revisar si es commodity global o split N:1
fuel_sin_correspondencia,"OIL002: sin evidencia de conexión regional (posible split 1->N tipo OIL, o commodity solo-nacional); revisar a mano"
fuel_sin_correspondencia,"OIL: sin evidencia de conexión regional (posible split 1->N tipo OIL, o commodity solo-nacional); revisar a mano"
fuel_sin_correspondencia,"RESDHT_ZNI: sin evidencia de conexión regional (posible split 1->N tipo OIL, o commodity solo-nacional); revisar a mano"
fuel_sin_correspondencia,"RESELC_ZNI: sin evidencia de conexión regional (posible split 1->N tipo OIL, o commodity solo-nacional); revisar a mano"
fuel_sin_correspondencia,"WND: sin evidencia de conexión regional (posible split 1->N tipo OIL, o commodity solo-nacional); revisar a mano"
renombramiento_baja_confianza,DSL -> DSL002 (Jaccard 0.20 < 0.3; otros candidatos: AGFHEA;BDL002;COQDSL;DSL003;ELC001;ELC003;TRAMRT)
renombramiento_baja_confianza,GSL -> GSL002 (Jaccard 0.13 < 0.3; otros candidatos: AGFHEA;BET002;COQGSL;GSL003)
renombramiento_baja_confianza,NGS -> NGS001 (Jaccard 0.12 < 0.3; otros candidatos: ELC001;HDG001;LNG;NGS002;NGSAUT)
renombramiento_baja_confianza,SOL_RTP -> ELC002 (Jaccard 0.12 < 0.3; otros candidatos: ELC003)
