REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
RE1,AN_DEMRESELCWHT_DUC_HIG_URB,AN_RESWHT_URB,1,2022,1.0
RE1,AN_DEMRESELCWHT_DUC_LOW_RUR,AN_RESWHT_RUR,1,2022,1.0
RE1,AN_DEMRESELCWHT_DUC_LOW_URB,AN_RESWHT_URB,1,2022,1.0
RE1,AN_DEMRESELCWHT_DUC_MID_RUR,AN_RESWHT_RUR,1,2022,1.0
RE1,AN_DEMRESELCWHT_DUC_MID_URB,AN_RESWHT_URB,1,2022,1.0
RE1,AN_DEMRESELCWHT_PAS_HIG_RUR,AN_RESWHT_RUR,1,2022,1.0
RE1,AN_DEMRESELCWHT_PAS_HIG_URB,AN_RESWHT_URB,1,2022,1.0
RE1,AN_DEMRESELCWHT_PAS_LOW_RUR,AN_RESWHT_RUR,1,2022,1.0
RE1,AN_DEMRESELCWHT_PAS_LOW_URB,AN_RESWHT_URB,1,2022,1.0
RE1,AN_DEMRESELCWHT_PAS_MID_RUR,AN_RESWHT_RUR,1,2022,1.0
RE1,AN_DEMRESELCWHT_PAS_MID_URB,AN_RESWHT_URB,1,2022,1.0
RE1,AN_DEMRESELCWHT_TAN_HIG_RUR,AN_RESWHT_RUR,1,2022,1.0
RE1,AN_DEMRESELCWHT_TAN_HIG_URB,AN_RESWHT_URB,1,2022,1.0
RE1,AN_DEMRESELCWHT_TAN_LOW_RUR,AN_RESWHT_RUR,1,2022,1.0
RE1,AN_DEMRESELCWHT_TAN_LOW_URB,AN_RESWHT_URB,1,2022,1.0
RE1,AN_DEMRESELCWHT_TAN_MID_RUR,AN_RESWHT_RUR,1,2022,1.0
RE1,AN_DEMRESELCWHT_TAN_MID_URB,AN_RESWHT_URB,1,2022,1.0
RE1,AN_DEMRESELCWSH_HIG_RUR,AN_RESWSH_RUR,1,2022,1.0
RE1,AN_DEMRESELCWSH_HIG_URB,AN_RESWSH_URB,1,2022,1.0
RE1,AN_DEMRESELCWSH_LOW_RUR,AN_RESWSH_RUR,1,2022,1.0
RE1,AN_DEMRESELCWSH_LOW_URB,AN_RESWSH_URB,1,2022,1.0
RE1,AN_DEMRESELCWSH_MID_RUR,AN_RESWSH_RUR,1,2022,1.0
RE1,AN_DEMRESELCWSH_MID_URB,AN_RESWSH_URB,1,2022,1.0
RE1,AN_DEMRESLPGCKN_HIG_RUR,AN_RESDHT_RUR,1,2022,1.0
RE1,AN_DEMRESLPGCKN_HIG_URB,AN_RESDHT_URB,1,2022,1.0
RE1,AN_DEMRESLPGCKN_LOW_RUR,AN_RESDHT_RUR,1,2022,1.0
RE1,AN_DEMRESLPGCKN_LOW_URB,AN_RESDHT_URB,1,2022,1.0
RE1,AN_DEMRESLPGCKN_MID_RUR,AN_RESDHT_RUR,1,2022,1.0
RE1,AN_DEMRESLPGCKN_MID_URB,AN_RESDHT_URB,1,2022,1.0
RE1,AN_DEMRESNGSCKN_HIG_RUR,AN_RESDHT_RUR,1,2022,1.0
RE1,AN_DEMRESNGSCKN_HIG_URB,AN_RESDHT_URB,1,2022,1.0
RE1,AN_DEMRESNGSCKN_LOW_RUR,AN_RESDHT_RUR,1,2022,1.0
RE1,AN_DEMRESNGSCKN_LOW_URB,AN_RESDHT_URB,1,2022,1.0
RE1,AN_DEMRESNGSCKN_MID_RUR,AN_RESDHT_RUR,1,2022,1.0
RE1,AN_DEMRESNGSCKN_MID_URB,AN_RESDHT_URB,1,2022,1.0
RE1,AN_DEMRESNGSWHT_FOR_HIG_RUR,AN_RESWHT_RUR,1,2022,1.0
RE1,AN_DEMRESNGSWHT_FOR_HIG_URB,AN_RESWHT_URB,1,2022,1.0
