REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
RE1,AN_DEMTRADSLTCK_C2P,EMICO2,1,2022,0.066774135
RE1,AN_DEMTRADSLTCK_C2P,EMIN2O,1,2022,0.00252015
RE1,AN_DEMTRADSLTCK_CSG,EMICH4,1,2022,0.00010668
RE1,AN_DEMTRADSLTCK_CSG,EMICO2,1,2022,0.066774135
RE1,AN_DEMTRADSLTCK_CSG,EMIN2O,1,2022,0.00252015
RE1,AN_DEMTRAFOLSHP,EMICH4,1,2022,0.000196
RE1,AN_DEMTRAFOLSHP,EMICO2,1,2022,0.078281203
RE1,AN_DEMTRAFOLSHP,EMIN2O,1,2022,0.00053
RE1,AN_DEMTRAGSLBOT,EMICH4,1,2022,0.000882
RE1,AN_DEMTRAGSLBOT,EMICO2,1,2022,0.06239133
RE1,AN_DEMTRAGSLBOT,EMIN2O,1,2022,0.00019544
RE1,AN_DEMTRAGSLBUS_IMU,EMICH4,1,2022,0.000882
RE1,AN_DEMTRAGSLBUS_IMU,EMICO2,1,2022,0.06239133
RE1,AN_DEMTRAGSLBUS_IMU,EMIN2O,1,2022,0.00019544
RE1,AN_DEMTRAGSLBUS_URB,EMICH4,1,2022,0.000882
RE1,AN_DEMTRAGSLBUS_URB,EMICO2,1,2022,0.06239133
RE1,AN_DEMTRAGSLBUS_URB,EMIN2O,1,2022,0.00019544
RE1,AN_DEMTRAGSLFWD,EMICH4,1,2022,0.000882
RE1,AN_DEMTRAGSLFWD,EMICO2,1,2022,0.06239133
RE1,AN_DEMTRAGSLFWD,EMIN2O,1,2022,0.00019544
RE1,AN_DEMTRAGSLLDV,EMICH4,1,2022,0.000882
RE1,AN_DEMTRAGSLLDV,EMICO2,1,2022,0.06239133
RE1,AN_DEMTRAGSLLDV,EMIN2O,1,2022,0.00019544
RE1,AN_DEMTRAGSLMIC,EMICH4,1,2022,0.000882
RE1,AN_DEMTRAGSLMIC,EMICO2,1,2022,0.06239133
RE1,AN_DEMTRAGSLMIC,EMIN2O,1,2022,0.00019544
RE1,AN_DEMTRAGSLMTC,EMICH4,1,2022,0.000882
RE1,AN_DEMTRAGSLMTC,EMICO2,1,2022,0.06239133
RE1,AN_DEMTRAGSLMTC,EMIN2O,1,2022,0.00019544
RE1,AN_DEMTRAGSLSTT,EMICH4,1,2022,0.000882
RE1,AN_DEMTRAGSLSTT,EMICO2,1,2022,0.06239133
RE1,AN_DEMTRAGSLSTT,EMIN2O,1,2022,0.00019544
RE1,AN_DEMTRAGSLTAX,EMICH4,1,2022,0.000882
RE1,AN_DEMTRAGSLTAX,EMICO2,1,2022,0.06239133
RE1,AN_DEMTRAGSLTAX,EMIN2O,1,2022,0.00019544
RE1,AN_DEMTRAGSLTCK_C2P,EMICH4,1,2022,0.000882
RE1,AN_DEMTRAGSLTCK_C2P,EMICO2,1,2022,0.06239133
RE1,AN_DEMTRAGSLTCK_C2P,EMIN2O,1,2022,0.00019544
RE1,AN_DEMTRAHEVFWD,EMICO2,1,2022,0.0807033
RE1,AN_DEMTRAHEVLDV,EMICO2,1,2022,0.0807033
RE1,AN_DEMTRAJETAVI,EMICH4,1,2022,8.4e-05
RE1,AN_DEMTRAJETAVI,EMICO2,1,2022,0.08846113
RE1,AN_DEMTRAJETAVI,EMIN2O,1,2022,0.000159
RE1,AN_DEMTRAJETSAFAVI,EMICH4,1,2022,8.4e-05
RE1,AN_DEMTRAJETSAFAVI,EMICO2,1,2022,0.08846113
RE1,AN_DEMTRAJETSAFAVI,EMIN2O,1,2022,0.000159
RE1,AN_DEMTRANGSBUS_ART,EMICH4,1,2022,2.8e-05
RE1,AN_DEMTRANGSBUS_ART,EMICO2,1,2022,0.05553911
RE1,AN_DEMTRANGSBUS_ART,EMIN2O,1,2022,0.000795
RE1,AN_DEMTRANGSBUS_BIA,EMICH4,1,2022,2.8e-05
RE1,AN_DEMTRANGSBUS_BIA,EMICO2,1,2022,0.05553911
RE1,AN_DEMTRANGSBUS_BIA,EMIN2O,1,2022,0.000795
RE1,AN_DEMTRANGSBUS_IMU,EMICH4,1,2022,0.002576
RE1,AN_DEMTRANGSBUS_IMU,EMICO2,1,2022,0.05553911
RE1,AN_DEMTRANGSBUS_IMU,EMIN2O,1,2022,0.000795
RE1,AN_DEMTRANGSBUS_URB,EMICH4,1,2022,0.002576
RE1,AN_DEMTRANGSBUS_URB,EMICO2,1,2022,0.05553911
RE1,AN_DEMTRANGSBUS_URB,EMIN2O,1,2022,0.000795
RE1,AN_DEMTRANGSFWD,EMICH4,1,2022,0.002576
RE1,AN_DEMTRANGSFWD,EMICO2,1,2022,0.05553911
RE1,AN_DEMTRANGSFWD,EMIN2O,1,2022,0.000795
