Parametro,Dimension,Codigo_Destino,Region,Anio,Participacion_Efectiva,Valor_Absoluto
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_MID,IN,2039,0.002943,0.003339
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_MID,IN,2040,0.00294,0.003548
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_MID,IN,2041,0.002937,0.003758
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_MID,IN,2042,0.002936,0.00397
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_MID,IN,2043,0.002935,0.004182
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_MID,IN,2044,0.002934,0.004395
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_MID,IN,2045,0.002934,0.00461
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_MID,IN,2046,0.002933,0.004822
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_MID,IN,2047,0.002933,0.005039
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_MID,IN,2048,0.002934,0.005256
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_MID,IN,2049,0.002933,0.00547
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_MID,IN,2050,0.002934,0.00567
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_MID,IN,2051,0.002936,0.005803
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_MID,IN,2052,0.002938,0.005936
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_MID,IN,2053,0.002941,0.00606
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_MID,IN,2054,0.002944,0.006183
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCFAN_HIG,IN,2025,0.00442,0.002067
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCFAN_HIG,IN,2026,0.004425,0.002516
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCFAN_HIG,IN,2027,0.004429,0.003085
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCFAN_HIG,IN,2028,0.004432,0.003789
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCFAN_HIG,IN,2029,0.004434,0.005237
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCFAN_HIG,IN,2030,0.004435,0.005618
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCFAN_HIG,IN,2031,0.004432,0.006
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCFAN_HIG,IN,2032,0.004429,0.006389
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCFAN_HIG,IN,2033,0.004425,0.006785
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCFAN_HIG,IN,2034,0.004421,0.007188
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCFAN_HIG,IN,2035,0.004418,0.007597
